Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Macao SAR, China",MAC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389159776,0.620501572,1.311797517,2.782055964,3.929199129,5.471975423,9.00568738,11.06401059,12.85610023,19.67108652,27.83484016,32.66098127,44.17225989,61.43608501,79.23087303,91.98578257,110.6707659,129.0066029,157.0711615,179.8770597,195.2917479,206.4285136,243.4980233,
"Hong Kong SAR, China",HKG,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0.018690495,0.081261323,0.182255562,0.504274744,0.908498214,1.558776698,2.311275546,3.23820724,3.945206332,4.868680565,8.016221496,12.99368392,21.72622072,34.76495332,48.36131484,63.87689395,80.3050484,84.58735993,93.54898208,107.7242891,120.6559669,125.4688974,138.2138915,156.4377443,167.1893408,180.2692368,195.5672675,209.6399322,
Panama,PAN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256249092,0.842198772,3.02056501,8.031628798,13.88306858,15.77160858,17.13339609,22.15298674,39.59648884,54.00144087,66.00079585,89.8516507,114.9350049,175.2413775,188.9874375,203.8839769,
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09201903,0.091968908,0.092081744,0.089990113,0.088083824,0.08656789,1.015284034,1.745829885,3.257685177,4.273105318,6.863866579,12.22653438,23.33293668,32.40845243,39.52725122,58.91649955,79.43729043,111.3543131,137.5797633,167.3474553,187.8614596,191.2426942,
Antigua and Barbuda,ATG,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1.845280341,1.935787174,2.021835827,11.18641837,28.33007108,31.5796122,47.45550076,56.41490039,65.18747435,102.4834358,129.6932385,130.7744225,157.2173433,153.6696203,189.3473115,181.6419676,
Russian Federation,RUS,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201784,0.004029611,0.006713862,0.018636856,0.059533856,0.150213228,0.327315631,0.505694738,0.930586243,2.22353176,5.302686527,12.10060434,24.9413432,51.08707907,83.42419677,104.9919435,119.4742021,139.3671554,161.1162887,166.2648829,179.3087029,
Suriname,SUR,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253972742,0.321319129,0.386997614,0.546734978,0.504066239,1.322766469,3.800885715,8.792621121,18.37648992,22.56941841,34.61832375,43.14749937,46.62283144,63.37725509,74.48993994,127.5770484,146.9454335,169.6414276,178.8753331,
Oman,OMN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.003379751,0.046528605,0.069453849,0.098835006,0.116761705,0.146141307,0.188593775,0.232403931,0.265733194,0.309307305,0.360749779,0.664089997,2.33843922,4.330594012,5.35540883,7.1549619,14.17181949,20.10531188,25.42844141,33.90101315,54.87629193,72.99483663,97.61099053,122.0854824,146.3995788,165.5432382,168.9741036,
Cayman Islands,CYM,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,2.042904652,3.441309648,4.189665492,5.767089735,7.727494511,,11.62014649,14.08565824,21.96740153,26.6202264,39.99905885,42.11272913,44.00292795,67.23290832,154.8653096,172.3246202,185.6233655,177.7972692,194.9303301,177.6471634,167.6743817,
Finland,FIN,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0.491307856,0.589011125,0.702006957,0.870061347,1.065945789,1.379766579,1.733305806,2.144160676,2.790161329,3.825464864,5.171463976,6.371068203,7.667109057,9.664807758,13.28187422,20.34389743,29.30636347,42.07950682,55.25085886,63.41410637,72.07342603,80.52925839,86.90604073,91.10525765,95.44462404,100.4892511,107.6731658,114.924474,128.4719884,144.1530224,156.3972049,166.0238042,
Maldives,MDV,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007875256,0.498065652,0.608639959,1.089352197,2.795385674,6.801516248,14.84379982,23.18594876,38.91775606,68.96761956,90.52631931,103.2944696,141.6065299,146.8439945,156.4971429,165.7233638,
Dominica,DMA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647617442,0.784800836,0.923046337,1.142808165,1.722356183,11.10199145,17.5654031,34.37283237,60.55842633,75.44432354,104.0756914,130.0523132,133.5113485,145.0192868,155.8023525,164.0192095,
Libya,LBY,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201976298,0.39672834,0.584302822,0.76464452,0.937855623,1.288116044,2.291979408,8.845178767,34.66379327,66.63957577,74.71294043,119.993024,152.2369144,171.5154666,155.6960141,
Austria,AUT,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.129133458,0.252334397,0.345706095,0.485253636,0.664497659,0.960796234,1.494926471,2.217116821,2.817213834,3.524080692,4.833079289,7.521018875,14.5479808,28.74707079,53.23175816,76.4174901,81.37110499,83.33478699,89.42451257,97.6354316,105.257455,112.1813932,119.2810931,129.6601719,136.6128217,145.8365401,154.78324,
Italy,ITA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.011299556,0.015920037,0.029097167,0.059145055,0.116269673,0.468043453,0.999014019,1.376215626,2.120174886,3.932225496,6.886317431,11.27886724,20.63324796,36.03949249,53.26893142,74.13356983,89.59213237,94.26272695,98.10879697,107.69984,121.8655707,136.1122912,150.9381179,150.8411572,146.1011892,149.6263108,151.8374453,
Lithuania,LTU,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007235884,0.033808743,0.123533924,0.407676385,1.414327905,4.622059932,7.53884145,9.421828902,14.9713088,29.25602264,47.52677477,60.98356043,88.90170918,127.4522301,138.8569982,145.3688811,149.4922166,148.4991007,147.1585875,151.2979213,
Singapore,SGP,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,,,0.375876159,0.893190455,1.714764585,2.642585091,3.760939633,5.444999422,6.960005151,8.788875696,12.05104267,23.11825042,29.10458535,42.41691079,70.09925242,75.14777857,82.16323675,87.54175793,95.92664509,102.780146,108.586142,129.209094,134.4197329,139.1082457,145.1827199,149.4853538,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,0.201324421,0.29284622,0.385923488,0.587398073,0.783251259,0.903953238,0.857901626,1.459485898,1.856531033,2.251949407,2.428832801,3.326854264,4.097125814,5.491414024,7.834896198,11.84606431,17.90159815,28.72820446,47.07826725,60.62357117,74.60219726,87.39684895,100.685476,111.4218269,118.370469,143.0293101,150.7701531,153.7997194,145.4535397,148.6188563,
Luxembourg,LUX,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0.010907623,0.07924726,0.10113105,0.145023319,0.176290633,0.216145321,0.295265129,0.286607741,1.282753503,3.209276164,6.585656725,10.88594673,16.02651691,30.69028447,48.57540927,69.63955627,93.07295186,106.800457,120.7599588,104.2387467,111.5492884,153.1403436,143.8889753,145.2398512,144.6837755,143.265911,148.2675345,
Seychelles,SYC,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066885158,1.381566747,2.947465075,6.740347277,20.96902712,32.993582,46.06449506,55.46999008,60.28532941,65.79733998,70.41538443,83.44900405,90.94204178,109.2417726,128.56562,135.9104464,145.7130031,
Vietnam,VNM,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001143059,0.005684936,0.017177558,0.031753293,0.091736635,0.210819422,0.289144434,0.42196329,1.001242921,1.571267225,2.363196559,3.369500121,6.029442448,11.53567571,22.47082922,52.96482789,87.10953399,113.0295215,127.003046,143.3891012,
Botswana,BWA,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895854946,5.323522621,12.6393333,18.61997737,18.37638674,24.31405034,28.22739781,30.05758466,43.29884976,59.75289748,76.00645992,94.57628675,117.7616228,142.8181774,
Kazakhstan,KAZ,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002481372,0.028883853,0.062357821,0.072342442,0.194560316,0.328197713,1.319141784,3.906652223,6.89184547,8.895805836,16.25536454,35.57915489,50.78087709,79.62394643,95.24269826,107.7147692,121.0667396,142.5498635,
