Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.177,99.253,99.975,98.9,97.754,95.291,96.35,96.764,98.723,100.573,100.407,101.434,100.87,,
Andorra,AND,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,114.837,,,,,,,,102.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,17.096,16.463,16.411,17.203,17.005,17.676,18.349,19.52,20.17,,,24.556,49.001,,47.61,48.254,53.891,,50.87,,,53.728,,35.35,41.846,45.658,,,,,,0,,53.056,39.686,53.76,56.431,56.028,58.063,60.511,62.136,65.97,,
Angola,AGO,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,56.181,58.158,,,,,,,,,,82.098,78.618,,,,,,,,,,,,,,,81.708,,,,,,,,,,84.167,83.32,78.8,63.949,,
Albania,ALB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,91.836,,91.967,92.381,91.376,90.97,92.158,94.755,93.948,92.887,92.772,92.982,94.167,93.866,93.046,93.556,99.429,102.506,98.883,96.437,96.205,95.764,,95.359,95.859,97.338,,,,,,,,,,,,
Arab World,ARB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,56.905,57.045,57.317,58.06,58.963,59.826,61.374,62.792,64.411,66.583,67.904,69.275,70.551,71.575,72.508,73.465,74.429,75.465,75.912,77.116,78.281,79.079,80.556,81.495,81.916,83.345,81.898,84.293,85.473,86.648,87.54,88.428,88.998,89.964,90.372,90.999,91.367,91.836,92.169,92.355,92.543,92.259,,
United Arab Emirates,ARE,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,82.522,91.852,92.636,94.08,101.217,105.002,103.473,100.004,95.957,98.201,97.923,97.23,97.43,99.223,103.011,104.816,105.659,105.632,104.865,104.59,104.098,102.162,100.616,,103.161,104.211,103.258,,,,,,,,,,,,,,
Argentina,ARG,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,103.332,103.018,102.332,103.032,102.754,103.12,102.834,103.066,104.096,102.841,103.191,103.217,102.06,,102.735,103.763,102.441,102.563,106.591,,,,,,,,102.784,103.059,101.907,101.487,100.987,100.685,100.512,102.517,103.538,103.837,104.044,104.485,105.03,104.382,103.808,,,
Armenia,ARM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.761,,,,,,,112.601,113.651,114.701,,,,
American Samoa,ASM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.54,103.349,100.639,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,114.93,101.878,,103.751,84.091,,,,,,,,,,,,,,94.034,,,,,,,,,,,,,,,96.656,94.933,97.394,95.509,95.087,,
Australia,AUS,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.14,99.72,99.566,99.573,101.462,101.858,99.786,100.009,98.883,98.014,98.291,97.615,97.309,98.561,98.877,98.57,97.62,97.059,96.951,,
Austria,AUT,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,93.62,,,,,92.176,,,,,91.953,92.988,92.591,92.709,94.391,93.011,92.532,93.113,94.373,94.064,94.764,94.761,95.318,95.767,95.824,96.194,96.551,95.982,96.477,96.756,96.842,96.324,96.301,96.37,96.764,97.104,96.945,96.614,96.602,96.986,97.145,,
Azerbaijan,AZE,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.02,99.043,96.961,94.816,107.028,106.956,103.832,,,,,,,,,,97.53,99.015,101.725,98.7,98.02,,
Burundi,BDI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,47.029,48.345,54.136,56.637,57.473,59.379,60.963,60.438,61.71,61.882,61.995,60.783,61.825,63.974,66.6,68.96,72.038,76.241,77.798,78.536,81.342,79.505,79.646,,,,,,,,,,78.847,80.68,82.306,86.612,87.685,,89.859,90.941,92.339,93.459,
Belgium,BEL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,98.078,97.926,99.401,98.816,99.221,99.277,99.979,100.314,100.685,100.999,101.39,101.181,102.1,101.493,101.611,100.97,100.978,100.845,100.848,101.002,101.148,100.904,102.926,103,103.78,103.65,,,103.771,105.436,106.133,106.599,105.58,98.079,98.044,98.096,97.997,98.238,98.38,98.377,98.248,,
Benin,BEN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,44.559,,45.38,44.393,44.17,,43.366,,,,,,,,46.461,46.724,47.11,,,,,,,,,,,,59.799,61.599,62.873,64.34,65.507,67.643,70.79,,,,,,79.445,,
Burkina Faso,BFA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,56.83,57.884,58.564,58.964,59.562,58.956,57.704,,58.689,60.068,58.929,59.247,58.844,58.85,59.104,58.922,,,,,,,,63.895,,,,,68.41,70.022,71.276,72.501,73.724,76.663,78.235,79.948,81.799,84.001,85.597,87.673,89.285,91.378,
Bangladesh,BGD,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,50.606,,,50.463,53.302,,52.276,53.593,57.462,,,62.068,61.099,63.132,62.642,71.903,72.801,75.509,,,,,,,,,,,,,,,105.8,105.989,106.806,108.907,106.322,108.989,109.636,,
Bulgaria,BGR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,98.617,99.171,99.347,99.585,100.025,98.392,99.645,98.652,98.533,98.446,99.318,99.598,99.574,99.676,99.557,99.54,99.296,99.355,99.009,99.145,99.426,99.525,99.274,99.74,99.468,98.798,98.978,98.094,97.868,97.658,97.722,97.75,97.696,96.724,96.611,96.702,96.833,97.692,97.64,96.967,96.516,,
Bahrain,BHR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,72.959,77.069,78.855,80.632,81.62,82.842,83.783,84.45,84.163,84.942,85.269,86.17,90.894,93.814,96.753,98.907,99.507,99.901,100.973,102.741,102.4,103.634,104.034,103.884,102.456,101.925,102.712,102.481,101.963,,,,,,,,,,,,,,
"Bahamas, The",BHS,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,108.531,107.515,,107.546,107.187,,,,,,101.504,101.814,,100.171,,110.87,,97.453,,,101.696,,98.785,99.002,99.56,100.812,100.506,102.362,103.572,,,
Bosnia and Herzegovina,BIH,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.927,,,,,,,,,,97.746,97.694,97.778,97.746,97.691,
Belize,BLZ,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,97.512,97.2,,,,98.295,,,97.116,97.951,,,,99.716,98.774,99.403,,100.084,100.609,98.728,99.833,101.279,100.797,101.12,101.684,101.084,100.361,
Bermuda,BMU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,106.368,104.938,102.26,102.667,101.388,100.645,101.037,101.511,98.017,97.702,,,,,,,,,,,,,,,,,,,,,104.018,106.165,107.989,110.9,108.921,108.173,,,,108.523,107.268,,
Bolivia,BOL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,74.245,,,,,,,,,,,,,,,,,,,,,,,,,,,96.024,96.408,97.488,97.722,97.803,98.199,,,98.091,98.522,98.723,,,99.316,,
Brazil,BRA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,100.576,99.928,100.074,101.069,102.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,99.222,100.337,100.512,90.481,96.609,105.238,104.799,103.675,104.026,107.689,101.005,102.599,99.075,102.094,99.098,,,,102.547,94.251,,,,,,,,,107.787,107.62,107.003,107.29,107.334,107.157,107.245,107.824,108.459,108.039,106.864,105.471,104.73,,
Brunei Darussalam,BRN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,93.745,93.126,94.004,94.904,95.348,96.015,97.99,99.953,100.573,101.134,99.722,100.775,101.166,101.318,100.846,,,,,,,99.78,101.418,101.96,101.044,,,,100.013,99.588,99.587,99.733,99.867,100.883,100.499,100.51,100.426,100.207,100.035,99.967,100.233,99.292,99.888,
Bhutan,BTN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,5.231,22.774,20.574,,28.626,,,37.223,,,,,,44.917,46.234,,,,,,,,,,,,,,81.664,83.376,85.495,88.024,,,,94.267,96.095,97.161,98.918,101.205,102.013,102.552,103.26,
Botswana,BWA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,110.682,111.997,113.264,116.151,118.605,120.765,122.044,122.801,122.432,122.426,120.556,118.622,,115.232,112.804,111.078,108.376,107.207,107.001,107.068,108.063,108.741,107.492,105.78,104.199,103.579,,,102.422,102.256,101.694,101.463,101.243,101.221,100.653,100.71,100.499,100.002,100.443,,,,,
Sub-Saharan Africa (IFC classification),CAA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,46.04,46.103,46.866,,,51.3,50.239,49.951,50.788,54.452,53.413,52.576,,,,58.204,57.499,57.189,58.058,59.105,60.542,61.974,,,,,,,,,,,,,,,,,68.605,,69.368,70.097,
